标签,定义,设计意图
近战,邻格物理攻击,绑定力量检定，易受反击/阵型影响
远程,跨格攻击,绑定敏捷检定，受掩体/视野影响
法术,消耗MP的超自然行动,绑定心智，可触发过载施法
控制,推拉、定身、减速、地形改变,战术核心，配合五级结果的“半成功代价”
干扰,降属性、劣势、沉默、打断,针对敌方检定或卡牌释放
反击,响应敌方行动的触发式效果,模拟战棋警戒/借机攻击
破甲,削减或无视格挡值,针对重甲敌人的核心解法
格挡,生成/恢复格挡值或提供防御加成,契合“格挡值自动回复”反雪球设计
阵型,依赖邻格、连线、朝向的协同效果,鼓励站位规划，适配团队增益
潜行,降仇恨、先攻优势、规避遭遇,敏捷/幸运倾向，高风险高回报
————,——————,————
治疗,恢复体力(HP)或移除轻伤,配合生命骰短休循环
净化,移除毒素/疾病/诅咒等状态,替代原“解毒”，覆盖更广的伤势槽
增益,临时属性/检定/资源加成,缓冲难度，配合五级结果的大成功
状态,施加或交互Debuff/伤势,驱动“状态驱动健康”系统
资源,抽牌、回MP、生成临时行动点,支撑保留制手牌与MP循环
装备交互,触发装备特效、临时附魔、槽位联动,契合“装备赋予卡牌”机制
续航,生命骰恢复、长休优化、食物/时间管理,支撑20-2000小时长局生存节奏
————,——————,————
战斗,战棋场景核心行动,基础战斗卡标识
探索,节点调查、场景交互、解谜,触发环境检定或隐藏路径
社交,NPC对话、阵营交互、谈判/威胁,绑定魅力/欺诈/知识检定
移动,大地图节点移动或战棋位移,替代传统“步数”，消耗资源或触发遭遇
泛用,全场景通用或效果高度自适应,保底卡、工具卡，降低卡手率
————,——————,————
力量,Strength,近战伤害、负重、胁迫、破拆
敏捷,Agility,远程命中、闪避、先攻、巧手、陷阱
心智,Intellect,法术强度、MP上限、察觉、知识、解谜
魅力,Charm,社交成功率、领导光环、表演、士气
幸运,Luck,重掷、随机池偏向、叙事分支、风险补偿
————,——————,————
情报,揭示节点状态、敌人弱点、隐藏路线,替代“知识”的部分探索功能
欺诈,伪装、 bluff、诱导、黑市交易,社交分支，高风险高叙事权重
知识,古代文献、魔法理论、仪式解读,触发特殊节点或法术变异
环境互动,操纵场景物、点燃/冻结/破坏地形,支撑“卡牌多用途”核心设计
陷阱,布置、侦测、触发或拆解陷阱,探索/战斗双用途，敏捷/心智检定
命运,绑定执念、世界记忆、周目继承,高叙事权重，影响Legacy传承卡生成
风险,高方差、可能反噬、依赖暗骰,契合五级结果，失败推动剧情而非卡关
生存,应对瘟疫、饥饿、恶劣天气、长途跋涉,大地图节点状态交互核心
————,——————,————
单体,指定单一目标（敌/友/NPC）,
群体,扇形/圆形/直线多目标,
自身,仅影响使用者,
友方,仅影响队友或召唤物,
地形,影响瓦片/节点状态（创造区域效果）,
————,——————,————
物理,,
火焰,,
冰霜,,
雷电,,
暗影,,
神圣,,
